eid,true,pred
1.0,18.849207,26.847698
2.0,79.36508,88.36925
3.0,106.15079,96.16953
4.0,110.11904,74.42538
5.0,15.873016,33.485004
6.0,125.0,112.44886
7.0,6.9444447,7.916257
8.0,90.27778,81.74963
9.0,11.904762,2.076456
10.0,79.36508,95.694115
11.0,6.9444447,-9.919476
12.0,73.412704,100.561584
13.0,30.75397,38.506046
14.0,11.904762,38.67569
15.0,37.698414,69.35406
16.0,67.46032,96.987366
17.0,68.45238,64.385086
18.0,99.20635,125.67181
19.0,22.817461,39.57887
20.0,54.56349,71.12308
21.0,97.22222,94.382355
22.0,10.912699,12.493892
23.0,125.0,95.01377
24.0,77.38096,87.2617
25.0,88.29365,87.42483
26.0,125.0,119.3036
27.0,125.0,117.925446
28.0,125.0,117.648895
29.0,83.333336,87.94979
30.0,78.37302,52.39742
31.0,75.39683,101.72873
32.0,11.904762,3.8813126
33.0,53.57143,70.799995
34.0,125.0,124.62661
35.0,63.492065,82.12369
36.0,100.19841,90.87622
37.0,125.0,113.850555
38.0,55.555557,66.175865
39.0,48.61111,58.96584
40.0,37.698414,50.87483
41.0,44.642857,48.61012
42.0,27.777779,43.833744
43.0,18.849207,45.788773
44.0,6.9444447,23.64946
45.0,15.873016,12.559621
46.0,112.10317,120.06747
47.0,125.0,117.81842
48.0,13.888889,11.384812
49.0,122.0238,93.03545
50.0,13.888889,4.1764956
51.0,98.21429,112.81309
52.0,53.57143,52.409554
53.0,52.579365,68.07425
54.0,106.15079,101.961174
55.0,103.17461,103.12207
56.0,125.0,126.79833
57.0,123.01588,128.10104
58.0,26.785715,34.92231
59.0,125.0,115.63126
60.0,73.412704,86.10895
61.0,125.0,83.21364
62.0,39.68254,47.336823
63.0,39.68254,49.20794
64.0,14.880953,36.762035
65.0,11.904762,18.88294
66.0,121.031746,92.23162
67.0,86.309525,82.66927
68.0,56.54762,74.6004
69.0,115.07937,98.08946
70.0,17.857143,22.099117
71.0,125.0,117.206604
72.0,104.166664,88.2217
73.0,78.37302,77.05667
74.0,86.309525,103.44464
75.0,98.21429,82.77438
76.0,36.706352,52.761166
77.0,94.24603,81.55621
78.0,52.579365,74.381744
79.0,91.269844,101.76324
80.0,15.873016,24.21978
81.0,125.0,99.48008
82.0,74.40476,92.6645
83.0,125.0,117.01156
84.0,17.857143,38.094788
85.0,47.61905,59.437576
86.0,125.0,98.70313
87.0,21.825397,27.290874
88.0,79.36508,85.58275
89.0,97.22222,87.14911
90.0,8.928572,-3.5573378
91.0,9.920635,20.985342
92.0,73.412704,96.924095
93.0,125.0,104.501564
94.0,97.22222,96.35085
95.0,73.412704,95.5447
96.0,49.603176,62.158226
97.0,31.746033,33.444168
98.0,97.22222,90.0259
99.0,9.920635,-3.7563195
100.0,14.880953,29.67568
101.0,106.15079,106.889114
102.0,8.928572,23.384796
