sensor_id,symbol,description,zone,SHAP_mean_FD001,SHAP_rank_FD001,Perm_ΔRMSE_FD001,Perm_rank_FD001,SHAP_mean_FD002,SHAP_rank_FD002,Perm_ΔRMSE_FD002,Perm_rank_FD002,SHAP_mean_FD003,SHAP_rank_FD003,Perm_ΔRMSE_FD003,Perm_rank_FD003,SHAP_mean_FD004,SHAP_rank_FD004,Perm_ΔRMSE_FD004,Perm_rank_FD004
sensor_2,T24,Total temp — LPC outlet,LPC,0.004771,9,1.1375,4,0.130237,3,28.8607,7,0.002159,13,0.5036,13,0.026894,13,23.6901,11
sensor_3,T30,Total temp — HPC outlet,HPC,0.003354,12,0.6091,13,0.062372,7,24.4898,9,0.002615,11,1.4576,8,0.030722,11,31.4611,10
sensor_4,T50,Total temp — LPT outlet,LPT,0.005674,5,0.824,7,0.133,2,38.1272,3,0.004721,6,2.1367,5,0.054612,6,39.9876,6
sensor_7,P30,Total pressure — HPC outlet,HPC,0.007274,2,1.2123,3,0.038562,10,32.6562,5,0.006385,3,5.2815,2,0.039417,9,38.7575,7
sensor_8,Nf,Physical fan speed,Fan,0.005495,6,0.8193,8,0.043139,8,18.9299,12,0.004902,5,1.3398,11,0.070621,3,38.3975,8
sensor_9,Nc,Physical core speed,Core,0.005446,7,1.8577,1,0.042,9,22.1888,11,0.004206,7,0.9441,12,0.039605,8,17.6907,14
sensor_11,Ps30,Static pressure — HPC outlet,HPC,0.008233,1,1.269,2,0.186548,1,55.8294,2,0.006614,2,2.1787,4,0.089383,1,44.4711,5
sensor_12,phi,Fuel flow / Ps30 ratio,Combustor,0.006908,3,0.9033,5,0.096366,5,29.0449,6,0.011249,1,7.3858,1,0.035269,10,48.4143,3
sensor_13,NRf,Corrected fan speed,Fan,0.006185,4,0.6469,11,0.03671,11,15.2447,14,0.006248,4,1.5867,6,0.069985,4,48.0245,4
sensor_14,NRc,Corrected core speed,Core,0.002447,14,0.7991,9,0.02553,14,17.5144,13,0.002152,14,0.3165,14,0.019203,14,20.0053,12
sensor_15,BPR,Bypass ratio,Bypass,0.00486,8,0.7414,10,0.128501,4,59.1692,1,0.00383,8,2.4691,3,0.029552,12,18.2501,13
sensor_17,htBleed,Bleed enthalpy,HPC bleed,0.00372,10,0.6239,12,0.085793,6,24.2544,10,0.002256,12,1.4177,9,0.051003,7,34.9938,9
sensor_20,W31,HPT coolant bleed flow,HPT,0.003557,11,0.0578,14,0.030663,12,36.9003,4,0.002962,10,1.5834,7,0.074545,2,69.2819,1
sensor_21,W32,LPT coolant bleed flow,LPT,0.003248,13,0.827,6,0.030653,13,26.1788,8,0.003019,9,1.4019,10,0.05909,5,52.534,2
